,s
241,"Mankato (Minnesota State University, Mankato),["
242,Marshall (Southwest Minnesota State University)[
243,"Moorhead (Minnesota State University, Moorhead, Concordia College)["
244,Morris (University of Minnesota Morris)[
245,"Northfield (Carleton College, St. Olaf College)["
246,"North Mankato, South Central College"
247,"St. Cloud (St. Cloud State University, The College of St. Scholastica)["
248,St. Joseph (College of Saint Benedict)[
249,St. Peter (Gustavus Adolphus College)[
250,"Winona (Winona State University, St. Mary's University of Minnesota)["
251,Mississippi[edit]
252,Cleveland (Delta State University)[
253,Hattiesburg (University of Southern Mississippi)[
254,Itta Bena (Mississippi Valley State University)[
255,Oxford (University of Mississippi)[
256,Starkville (Mississippi State University)[
257,Missouri[edit]
258,Bolivar (Southwest Baptist University)[
259,Cape Girardeau (Southeast Missouri State University)[
260,"Columbia (University of Missouri, Stephens College, Columbia College)["
261,Fayette (Central Methodist University)[
262,Fulton (Westminster College and William Woods University).
263,"Kirksville (Truman State University, A. T. Still University)["
264,Maryville (Northwest Missouri State University)[
265,Rolla (Missouri University of Science and Technology)[
266,Warrensburg (University of Central Missouri)[
267,Montana[edit]
268,Bozeman (Montana State University)[
269,Dillon (University of Montana Western)[
270,Missoula (University of Montana)[
271,Nebraska[edit]
272,Chadron (Chadron State College)[
273,Crete (Doane College)[
274,Kearney (University of Nebraska at Kearney)[
275,Lincoln (University of Nebraska at Lincoln)[
276,Peru (Peru State College)[
277,Seward (Concordia University)[
278,Wayne (Wayne State College)[
279,Nevada[edit]
280,"Las Vegas (University of Nevada, Las Vegas)"
281,"Reno (University of Nevada, Reno)"
282,New Hampshire[edit]
283,"New London, New Hampshire (Colby-Sawyer College)"
284,Durham (University of New Hampshire)[
285,Hanover (Dartmouth College)[
286,Henniker (New England College)
287,Keene (Keene State College)[
288,Plymouth (Plymouth State University)[
289,Rindge (Franklin Pierce University)
290,New Jersey[edit]
291,"Ewing (The College of New Jersey), (Rider University)"
292,"Jersey City (New Jersey City University), (Saint Peter's University)"
293,Glassboro (Rowan University)[
294,Hoboken (Stevens Institute of Technology)
295,"Madison (Drew University), (Fairleigh Dickinson University), (College of Saint Elizabeth)"
296,"Newark (Rutgers University), (New Jersey Institute of Technology), (UMDNJ)"
297,New Brunswick (Rutgers University)[
298,Princeton (Princeton University)[
299,Union (Kean University)
300,West Long Branch (Monmouth University)
301,New Mexico[edit]
302,Hobbs (University of the Southwest)[
303,Las Cruces (New Mexico State University)[
304,Las Vegas (New Mexico Highlands University)[
305,Portales (Eastern New Mexico University)[
306,Silver City (Western New Mexico University)[
307,New York[edit]
308,"Alfred (Alfred University, Alfred State College)["
309,"Albany (SUNY Albany, Siena College, Albany College of Pharmacy, Albany Law School, Albany Medical College, College of Saint Rose, Excelsior College, Maria College of Albany, Mildred Elley, Sage College of Albany)"
310,Aurora (Wells College)[
311,Binghamton (Binghamton University)[
312,Brockport (SUNY Brockport)[
313,Buffalo (University at Buffalo)
314,"Canton (St. Lawrence University, SUNY Canton)["
315,Clinton (Hamilton College)[
316,Cobleskill (SUNY Cobleskill)[
317,Delhi (SUNY Delhi)[
318,Fredonia (SUNY Fredonia)[
